user_id,recency,frequency,monetary,cluster,segment
1,2520,1,63.99,1,Bình thường
2,1437,1,58.99,0,Ngủ đông
3,1706,3,458.13,2,VIP
4,1776,1,67.99,0,Ngủ đông
5,1662,3,93.99,3,Tiềm năng
8,1657,1,49.95,0,Ngủ đông
9,1888,1,34.95,1,Bình thường
10,1425,2,87.76,3,Tiềm năng
13,2562,1,137.0,1,Bình thường
15,1802,2,195.99,3,Tiềm năng
16,1425,2,81.98,3,Tiềm năng
17,1436,1,14.5,0,Ngủ đông
18,1828,1,74.0,0,Ngủ đông
20,1765,1,72.0,0,Ngủ đông
25,1453,1,319.0,0,Ngủ đông
26,1841,1,54.0,1,Bình thường
27,1458,1,39.24,0,Ngủ đông
28,1666,1,42.980003,0,Ngủ đông
29,1676,1,98.0,0,Ngủ đông
30,1665,1,62.0,0,Ngủ đông
32,1432,1,47.99,0,Ngủ đông
33,1429,1,39.99,0,Ngủ đông
34,1450,3,692.3,2,VIP
35,1762,1,9.66,0,Ngủ đông
36,1878,1,43.989998,1,Bình thường
37,1810,1,35.99,0,Ngủ đông
38,1942,1,41.99,1,Bình thường
39,1500,1,74.99,0,Ngủ đông
40,1598,1,39.95,0,Ngủ đông
41,1482,1,179.95,0,Ngủ đông
42,1428,2,61.0,3,Tiềm năng
43,1890,1,232.54001,1,Bình thường
44,1530,2,397.65,2,VIP
45,1961,2,108.45,1,Bình thường
46,1740,4,574.33997,2,VIP
47,2448,1,54.95,1,Bình thường
48,1545,2,26.93,3,Tiềm năng
49,2016,1,114.990005,1,Bình thường
50,1954,1,12.99,1,Bình thường
51,1425,2,530.0,2,VIP
52,1565,1,268.99,0,Ngủ đông
53,1516,1,25.0,0,Ngủ đông
54,2105,1,74.0,1,Bình thường
55,1438,1,25.0,0,Ngủ đông
57,1988,2,612.9,2,VIP
58,1421,2,102.63,3,Tiềm năng
59,1754,1,235.0,0,Ngủ đông
62,1507,2,93.0,3,Tiềm năng
63,2068,2,31.98,1,Bình thường
64,1472,1,109.99,0,Ngủ đông
65,1908,1,21.99,1,Bình thường
67,1966,1,35.99,1,Bình thường
68,1423,1,28.69,0,Ngủ đông
73,1611,2,1130.72,2,VIP
74,1890,1,50.0,1,Bình thường
75,1575,1,242.48001,0,Ngủ đông
77,1424,1,34.0,0,Ngủ đông
78,1896,1,42.99,1,Bình thường
79,1446,3,230.09001,3,Tiềm năng
81,1648,1,32.98,0,Ngủ đông
82,1990,2,141.7,1,Bình thường
83,2016,2,85.590004,1,Bình thường
84,1723,2,159.13,3,Tiềm năng
85,1496,1,69.350006,0,Ngủ đông
86,1843,1,39.23,1,Bình thường
88,1673,1,42.16,0,Ngủ đông
89,2065,1,109.99,1,Bình thường
90,1515,1,15.0,0,Ngủ đông
91,1494,1,277.05,0,Ngủ đông
93,1470,3,147.59,3,Tiềm năng
95,1643,2,60.989998,3,Tiềm năng
96,1993,1,24.03,1,Bình thường
97,1491,1,89.5,0,Ngủ đông
98,1425,2,147.5,3,Tiềm năng
99,1871,1,73.99,1,Bình thường
101,1644,1,21.9,0,Ngủ đông
102,1877,2,172.99,3,Tiềm năng
103,1424,2,171.57,3,Tiềm năng
105,1446,2,279.38,3,Tiềm năng
107,1492,3,49.72,3,Tiềm năng
108,1597,1,79.0,0,Ngủ đông
109,1600,2,116.75,3,Tiềm năng
111,1497,2,194.28,3,Tiềm năng
112,1673,1,13.5,0,Ngủ đông
113,2059,1,80.0,1,Bình thường
114,1898,1,25.0,1,Bình thường
115,1443,4,972.63995,2,VIP
116,1516,3,115.9,3,Tiềm năng
117,1570,1,79.0,0,Ngủ đông
118,1557,1,72.0,0,Ngủ đông
120,1496,2,136.97,3,Tiềm năng
121,1582,1,115.08,0,Ngủ đông
122,1424,1,9.5,0,Ngủ đông
123,1781,2,157.95999,3,Tiềm năng
