MADON,MAMH,GIA,TRONGLUONG,TONGTIEN,SOLUONGDAT,KENHBANHANG,QUY,THUTRONGTUAN,BANG,LOAICUAHANG,MACUAHANG,LOG_GIA,LOG_TRONGLUONG,CLUSTER
10223,15595,19.2,100,19.2,1,Truc tuyen,3,Tuesday,MG,Truc tuyen,OL_3,3.005682604407159,4.61512051684126,1
10224,8189,110.9,800,110.9,1,Tai cua hang,4,Monday,SP,Vat ly,38,4.71760561531788,6.68586094706836,3
10225,1243,29.89,300,29.89,1,Tai cua hang,2,Wednesday,BA,Vat ly,33,3.43043250693049,5.707110264748875,1
10226,1840,58.99,1550,58.99,1,Tai cua hang,2,Friday,SP,Vat ly,25,4.094177881665002,7.346655163176539,3
10227,16848,169.99,3950,169.99,1,Truc tuyen,3,Tuesday,BA,Truc tuyen,OL_22,5.141605075260502,8.281723990411392,2
10228,18460,75.9,1100,151.8,2,Truc tuyen,4,Sunday,SP,Truc tuyen,OL_28,4.3425058765115985,7.00397413672268,3
10229,11707,109.99,900,109.99,1,Tai cua hang,4,Friday,SP,Vat ly,16,4.709440107163888,6.803505257608338,3
1023,18296,49.0,250,49.0,1,Tai cua hang,2,Saturday,SP,Vat ly,61,3.912023005428146,5.5254529391317835,1
10230,18732,137.9,200,137.9,1,Tai cua hang,4,Friday,GO,Vat ly,26,4.933754249760298,5.303304908059076,0
10231,1269,19.99,100,19.99,1,Truc tuyen,3,Sunday,PR,Truc tuyen,OL_7,3.0440461338325417,4.61512051684126,1
10231,13042,7.0,150,7.0,1,Truc tuyen,3,Sunday,PR,Truc tuyen,OL_7,2.0794415416798357,5.017279836814924,1
10231,3219,7.0,100,7.0,1,Truc tuyen,3,Sunday,PR,Truc tuyen,OL_7,2.0794415416798357,4.61512051684126,1
10231,5697,7.0,100,7.0,1,Truc tuyen,3,Sunday,PR,Truc tuyen,OL_7,2.0794415416798357,4.61512051684126,1
10231,6639,19.99,150,19.99,1,Truc tuyen,3,Sunday,PR,Truc tuyen,OL_7,3.0440461338325417,5.017279836814924,1
10231,9551,19.99,150,19.99,1,Truc tuyen,3,Sunday,PR,Truc tuyen,OL_7,3.0440461338325417,5.017279836814924,1
10232,1721,37.95,400,37.95,1,Tai cua hang,2,Sunday,SP,Vat ly,11,3.6622787723167574,5.993961427306569,1
10233,10630,58.0,7850,58.0,1,Truc tuyen,1,Wednesday,SP,Truc tuyen,OL_29,4.07753744390572,8.968396191198256,2
10234,6265,209.99,28100,209.99,1,Truc tuyen,1,Sunday,GO,Truc tuyen,OL_10,5.3518107389880365,10.243560441877241,2
10235,5446,295.0,450,471.8,2,Tai cua hang,4,Saturday,SP,Vat ly,21,5.69035945432406,6.111467339502679,0
10236,19911,179.0,2841,179.0,1,Tai cua hang,1,Sunday,SP,Vat ly,7,5.19295685089021,7.952263308657046,2
10237,10987,35.0,200,70.0,2,Tai cua hang,1,Saturday,RJ,Vat ly,51,3.58351893845611,5.303304908059076,1
10238,14728,29.99,300,29.99,1,Tai cua hang,1,Saturday,PA,Vat ly,23,3.433664571799657,5.707110264748875,1
10239,1435,148.0,1050,148.0,1,Truc tuyen,3,Sunday,SP,Truc tuyen,OL_28,5.003946305945459,6.957497370876951,0
1024,10947,44.9,200,42.99,1,Tai cua hang,1,Wednesday,SC,Vat ly,59,3.8264651170664994,5.303304908059076,1
10240,3107,115.99,1650,115.99,1,Truc tuyen,1,Sunday,SP,Truc tuyen,OL_17,4.76208846105951,7.409136443920128,3
10241,19817,25.0,400,25.0,1,Tai cua hang,1,Sunday,SP,Vat ly,82,3.258096538021482,5.993961427306569,1
10242,17872,20.3,250,20.3,1,Tai cua hang,2,Sunday,SP,Vat ly,2,3.0587070727153796,5.5254529391317835,1
10243,3999,64.9,5150,64.9,1,Truc tuyen,3,Sunday,SP,Truc tuyen,OL_23,4.188138441508461,8.546946149565585,3
10244,5367,18.99,300,18.99,1,Tai cua hang,4,Friday,BA,Vat ly,40,2.995232148512309,5.707110264748875,1
10245,338,159.9,1600,159.9,1,Truc tuyen,3,Wednesday,SP,Truc tuyen,OL_28,5.080783053998338,7.3783837129967145,3
10246,3831,74.99,1450,74.99,1,Tai cua hang,2,Monday,BA,Vat ly,40,4.330601752681694,7.280008252884188,3
10247,12539,590.0,530,590.0,1,Tai cua hang,4,Saturday,SP,Vat ly,71,6.3818160174060985,6.274762021241939,0
10248,9768,56.0,900,56.0,1,Tai cua hang,3,Saturday,MG,Vat ly,3,4.04305126783455,6.803505257608338,3
10249,17851,59.99,800,59.99,1,Truc tuyen,1,Saturday,RS,Truc tuyen,OL_18,4.110709916308365,6.68586094706836,3
1025,13831,12.9,200,12.9,1,Tai cua hang,1,Sunday,SP,Vat ly,24,2.631888840136646,5.303304908059076,1
10250,12617,19.0,100,19.0,1,Tai cua hang,3,Monday,MG,Vat ly,37,2.995732273553991,4.61512051684126,1
10251,17558,32.99,100,32.99,1,Truc tuyen,3,Sunday,SP,Truc tuyen,OL_28,3.5260663637080247,4.61512051684126,1
10252,11135,224.9,1550,449.8,2,Tai cua hang,2,Wednesday,SP,Vat ly,38,5.420092423473958,7.346655163176539,2
10253,10460,884.0,13900,899.0,1,Truc tuyen,3,Wednesday,MG,Truc tuyen,OL_12,6.785587645007929,9.539716058977092,2
10254,15069,70.89,150,70.9,1,Tai cua hang,1,Monday,DF,Vat ly,27,4.27513717299578,5.017279836814924,1
10255,17794,196.8,1650,393.6,2,Tai cua hang,3,Tuesday,SP,Vat ly,12,5.287256419188612,7.409136443920128,2
10256,10224,299.99,550,299.99,1,Tai cua hang,4,Sunday,SP,Vat ly,25,5.707077041605631,6.311734809152915,0
10256,19937,35.0,100,37.5,1,Tai cua hang,4,Sunday,SP,Vat ly,52,3.58351893845611,4.61512051684126,1
10257,12160,179.49,550,179.49,1,Tai cua hang,4,Tuesday,SP,Vat ly,4,5.195675374576157,6.311734809152915,0
10258,20316,32.9,450,32.9,1,Tai cua hang,2,Sunday,SP,Vat ly,100,3.5234150143864045,6.111467339502679,1
10259,7037,16.9,410,67.6,4,Truc tuyen,4,Tuesday,SP,Truc tuyen,OL_5,2.884800712846709,6.018593214496234,1
1026,6175,249.89,267,249.88,1,Tai cua hang,2,Sunday,PE,Vat ly,44,5.525014596061544,5.5909869805108565,0
10260,1879,626.0,11375,626.0,1,Tai cua hang,2,Thursday,CE,Vat ly,79,6.440946540632921,9.339261152043022,2
10261,9205,56.89,434,61.0,1,Tai cua hang,1,Saturday,SP,Vat ly,34,4.058544658090914,6.075346031088684,3
10262,13122,59.0,1500,59.0,1,Truc tuyen,1,Sunday,SP,Truc tuyen,OL_28,4.0943445622221,7.313886831633462,3
10263,386,43.0,150,35.0,1,Tai cua hang,1,Sunday,SP,Vat ly,12,3.784189633918261,5.017279836814924,1
