"MADON","MAMH","GIA","TRONGLUONG","TONGTIEN","SOLUONGDAT","KENHBANHANG","QUY","THUTRONGTUAN","BANG","LOAICUAHANG","MACUAHANG"
"10223","15595",19.2,100,19.2,1,"Truc tuyen",3,"Tuesday","MG","Truc tuyen","OL_3"
"10224","8189",110.9,800,110.9,1,"Tai cua hang",4,"Monday","SP","Vat ly","38"
"10225","1243",29.89,300,29.89,1,"Tai cua hang",2,"Wednesday","BA","Vat ly","33"
"10226","1840",58.99,1550,58.99,1,"Tai cua hang",2,"Friday","SP","Vat ly","25"
"10227","16848",169.99,3950,169.99,1,"Truc tuyen",3,"Tuesday","BA","Truc tuyen","OL_22"
"10228","18460",75.9,1100,151.8,2,"Truc tuyen",4,"Sunday","SP","Truc tuyen","OL_28"
"10229","11707",109.99,900,109.99,1,"Tai cua hang",4,"Friday","SP","Vat ly","16"
"1023","18296",49,250,49,1,"Tai cua hang",2,"Saturday","SP","Vat ly","61"
"10230","18732",137.9,200,137.9,1,"Tai cua hang",4,"Friday","GO","Vat ly","26"
"10231","1269",19.99,100,19.99,1,"Truc tuyen",3,"Sunday","PR","Truc tuyen","OL_7"
"10231","13042",7,150,7,1,"Truc tuyen",3,"Sunday","PR","Truc tuyen","OL_7"
"10231","3219",7,100,7,1,"Truc tuyen",3,"Sunday","PR","Truc tuyen","OL_7"
"10231","5697",7,100,7,1,"Truc tuyen",3,"Sunday","PR","Truc tuyen","OL_7"
"10231","6639",19.99,150,19.99,1,"Truc tuyen",3,"Sunday","PR","Truc tuyen","OL_7"
"10231","9551",19.99,150,19.99,1,"Truc tuyen",3,"Sunday","PR","Truc tuyen","OL_7"
"10232","1721",37.95,400,37.95,1,"Tai cua hang",2,"Sunday","SP","Vat ly","11"
"10233","10630",58,7850,58,1,"Truc tuyen",1,"Wednesday","SP","Truc tuyen","OL_29"
"10234","6265",209.99,28100,209.99,1,"Truc tuyen",1,"Sunday","GO","Truc tuyen","OL_10"
"10235","5446",295,450,471.8,2,"Tai cua hang",4,"Saturday","SP","Vat ly","21"
"10236","19911",179,2841,179,1,"Tai cua hang",1,"Sunday","SP","Vat ly","7"
"10237","10987",35,200,70,2,"Tai cua hang",1,"Saturday","RJ","Vat ly","51"
"10238","14728",29.99,300,29.99,1,"Tai cua hang",1,"Saturday","PA","Vat ly","23"
"10239","1435",148,1050,148,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_28"
"1024","10947",44.9,200,42.99,1,"Tai cua hang",1,"Wednesday","SC","Vat ly","59"
"10240","3107",115.99,1650,115.99,1,"Truc tuyen",1,"Sunday","SP","Truc tuyen","OL_17"
"10241","19817",25,400,25,1,"Tai cua hang",1,"Sunday","SP","Vat ly","82"
"10242","17872",20.3,250,20.3,1,"Tai cua hang",2,"Sunday","SP","Vat ly","2"
