user_id,cluster,segment,is_vip
1,0,Ngu Dong,0
2,3,Vang Lai,0
3,1,VIP,1
4,3,Vang Lai,0
5,1,VIP,1
8,3,Vang Lai,0
9,0,Ngu Dong,0
10,3,Vang Lai,0
13,0,Ngu Dong,0
15,1,VIP,1
16,3,Vang Lai,0
17,3,Vang Lai,0
18,0,Ngu Dong,0
20,3,Vang Lai,0
25,2,Tiem Nang,0
26,0,Ngu Dong,0
27,3,Vang Lai,0
28,3,Vang Lai,0
29,3,Vang Lai,0
30,3,Vang Lai,0
32,3,Vang Lai,0
33,3,Vang Lai,0
34,2,Tiem Nang,0
35,3,Vang Lai,0
36,0,Ngu Dong,0
37,3,Vang Lai,0
38,0,Ngu Dong,0
39,3,Vang Lai,0
40,3,Vang Lai,0
41,3,Vang Lai,0
42,3,Vang Lai,0
43,2,Tiem Nang,0
44,2,Tiem Nang,0
45,0,Ngu Dong,0
46,1,VIP,1
47,0,Ngu Dong,0
48,3,Vang Lai,0
49,0,Ngu Dong,0
50,0,Ngu Dong,0
51,2,Tiem Nang,0
52,2,Tiem Nang,0
53,3,Vang Lai,0
54,0,Ngu Dong,0
55,3,Vang Lai,0
57,2,Tiem Nang,0
58,3,Vang Lai,0
59,2,Tiem Nang,0
62,3,Vang Lai,0
63,0,Ngu Dong,0
64,3,Vang Lai,0
65,0,Ngu Dong,0
67,0,Ngu Dong,0
68,3,Vang Lai,0
73,2,Tiem Nang,0
74,0,Ngu Dong,0
75,2,Tiem Nang,0
77,3,Vang Lai,0
78,0,Ngu Dong,0
79,1,VIP,1
81,3,Vang Lai,0
82,0,Ngu Dong,0
83,0,Ngu Dong,0
84,3,Vang Lai,0
85,3,Vang Lai,0
86,0,Ngu Dong,0
88,3,Vang Lai,0
89,0,Ngu Dong,0
90,3,Vang Lai,0
91,2,Tiem Nang,0
93,1,VIP,1
95,3,Vang Lai,0
96,0,Ngu Dong,0
97,3,Vang Lai,0
98,3,Vang Lai,0
99,0,Ngu Dong,0
101,3,Vang Lai,0
102,0,Ngu Dong,0
103,1,VIP,1
105,1,VIP,1
107,1,VIP,1
108,3,Vang Lai,0
109,3,Vang Lai,0
111,1,VIP,1
112,3,Vang Lai,0
113,0,Ngu Dong,0
114,0,Ngu Dong,0
115,1,VIP,1
116,1,VIP,1
117,3,Vang Lai,0
118,3,Vang Lai,0
120,3,Vang Lai,0
121,3,Vang Lai,0
122,3,Vang Lai,0
123,3,Vang Lai,0
124,3,Vang Lai,0
126,3,Vang Lai,0
130,0,Ngu Dong,0
132,3,Vang Lai,0
133,3,Vang Lai,0
135,3,Vang Lai,0
136,1,VIP,1
137,3,Vang Lai,0
138,1,VIP,1
141,3,Vang Lai,0
142,2,Tiem Nang,0
143,0,Ngu Dong,0
144,1,VIP,1
145,1,VIP,1
146,0,Ngu Dong,0
147,3,Vang Lai,0
149,3,Vang Lai,0
151,3,Vang Lai,0
152,3,Vang Lai,0
153,2,Tiem Nang,0
154,1,VIP,1
157,1,VIP,1
158,1,VIP,1
159,1,VIP,1
161,0,Ngu Dong,0
163,3,Vang Lai,0
164,3,Vang Lai,0
165,3,Vang Lai,0
166,3,Vang Lai,0
168,3,Vang Lai,0
169,3,Vang Lai,0
171,3,Vang Lai,0
174,3,Vang Lai,0
175,2,Tiem Nang,0
177,3,Vang Lai,0
179,1,VIP,1
183,1,VIP,1
185,3,Vang Lai,0
186,3,Vang Lai,0
187,0,Ngu Dong,0
188,3,Vang Lai,0
189,0,Ngu Dong,0
190,3,Vang Lai,0
191,3,Vang Lai,0
192,3,Vang Lai,0
193,1,VIP,1
196,0,Ngu Dong,0
197,3,Vang Lai,0
198,0,Ngu Dong,0
199,3,Vang Lai,0
200,3,Vang Lai,0
201,3,Vang Lai,0
204,3,Vang Lai,0
205,3,Vang Lai,0
207,2,Tiem Nang,0
208,3,Vang Lai,0
209,1,VIP,1
210,3,Vang Lai,0
211,3,Vang Lai,0
212,3,Vang Lai,0
213,3,Vang Lai,0
214,1,VIP,1
216,0,Ngu Dong,0
217,3,Vang Lai,0
218,2,Tiem Nang,0
219,2,Tiem Nang,0
221,3,Vang Lai,0
223,1,VIP,1
224,1,VIP,1
225,0,Ngu Dong,0
226,0,Ngu Dong,0
227,1,VIP,1
228,3,Vang Lai,0
230,2,Tiem Nang,0
231,3,Vang Lai,0
232,2,Tiem Nang,0
234,0,Ngu Dong,0
235,0,Ngu Dong,0
236,3,Vang Lai,0
237,3,Vang Lai,0
238,3,Vang Lai,0
240,0,Ngu Dong,0
241,2,Tiem Nang,0
244,3,Vang Lai,0
245,3,Vang Lai,0
247,0,Ngu Dong,0
248,3,Vang Lai,0
249,3,Vang Lai,0
250,3,Vang Lai,0
251,1,VIP,1
252,3,Vang Lai,0
254,1,VIP,1
255,3,Vang Lai,0
256,3,Vang Lai,0
257,3,Vang Lai,0
258,3,Vang Lai,0
259,3,Vang Lai,0
260,3,Vang Lai,0
262,3,Vang Lai,0
263,1,VIP,1
264,0,Ngu Dong,0
265,0,Ngu Dong,0
266,3,Vang Lai,0
272,2,Tiem Nang,0
273,0,Ngu Dong,0
275,3,Vang Lai,0
276,1,VIP,1
277,3,Vang Lai,0
278,0,Ngu Dong,0
279,3,Vang Lai,0
280,2,Tiem Nang,0
281,3,Vang Lai,0
282,0,Ngu Dong,0
283,0,Ngu Dong,0
284,3,Vang Lai,0
286,1,VIP,1
287,3,Vang Lai,0
288,0,Ngu Dong,0
289,3,Vang Lai,0
290,1,VIP,1
291,1,VIP,1
293,3,Vang Lai,0
294,0,Ngu Dong,0
295,1,VIP,1
296,3,Vang Lai,0
298,3,Vang Lai,0
301,3,Vang Lai,0
303,0,Ngu Dong,0
305,3,Vang Lai,0
307,0,Ngu Dong,0
308,3,Vang Lai,0
309,1,VIP,1
310,0,Ngu Dong,0
311,1,VIP,1
317,1,VIP,1
318,3,Vang Lai,0
320,2,Tiem Nang,0
321,0,Ngu Dong,0
323,0,Ngu Dong,0
325,2,Tiem Nang,0
327,0,Ngu Dong,0
330,2,Tiem Nang,0
331,0,Ngu Dong,0
335,0,Ngu Dong,0
336,2,Tiem Nang,0
339,3,Vang Lai,0
340,3,Vang Lai,0
341,1,VIP,1
345,3,Vang Lai,0
346,3,Vang Lai,0
348,3,Vang Lai,0
349,0,Ngu Dong,0
350,1,VIP,1
353,3,Vang Lai,0
355,3,Vang Lai,0
356,0,Ngu Dong,0
358,3,Vang Lai,0
359,3,Vang Lai,0
362,0,Ngu Dong,0
363,3,Vang Lai,0
364,3,Vang Lai,0
366,3,Vang Lai,0
367,1,VIP,1
369,3,Vang Lai,0
371,3,Vang Lai,0
372,3,Vang Lai,0
374,1,VIP,1
375,1,VIP,1
376,3,Vang Lai,0
377,3,Vang Lai,0
378,2,Tiem Nang,0
379,3,Vang Lai,0
381,0,Ngu Dong,0
382,3,Vang Lai,0
383,0,Ngu Dong,0
385,2,Tiem Nang,0
386,3,Vang Lai,0
387,3,Vang Lai,0
388,3,Vang Lai,0
390,3,Vang Lai,0
392,3,Vang Lai,0
394,3,Vang Lai,0
395,0,Ngu Dong,0
396,0,Ngu Dong,0
