product_id,category,department,retail_price,margin_pct,price_tier
27569,Swim,Men,150.41,0.384,Premium
27445,Swim,Men,38.99,0.366,Budget
27457,Swim,Men,27.6,0.424,Budget
27466,Swim,Men,30.0,0.405,Budget
27481,Swim,Men,45.95,0.36,Budget
27487,Swim,Men,26.49,0.409,Budget
27510,Swim,Men,39.95,0.435,Budget
27529,Swim,Men,36.0,0.366,Budget
27537,Swim,Men,39.99,0.391,Budget
27552,Swim,Men,33.95,0.431,Budget
27599,Swim,Men,26.51,0.38,Budget
27674,Swim,Men,44.96,0.398,Budget
27812,Swim,Men,24.99,0.404,Budget
27960,Swim,Men,25.0,0.397,Budget
27976,Swim,Men,28.95,0.415,Budget
28039,Swim,Men,38.0,0.429,Budget
28167,Swim,Men,40.0,0.379,Budget
28204,Swim,Men,52.0,0.405,Budget
27630,Swim,Men,130.0,0.434,Premium
27946,Swim,Men,145.0,0.354,Premium
27912,Swim,Men,56.0,0.432,Budget
28165,Swim,Men,40.49,0.429,Budget
27490,Swim,Men,16.99,0.373,Budget
27635,Swim,Men,16.99,0.355,Budget
27420,Swim,Men,39.5,0.399,Budget
27425,Swim,Men,50.0,0.39,Budget
27442,Swim,Men,65.0,0.356,Budget
27443,Swim,Men,45.0,0.387,Budget
27450,Swim,Men,55.0,0.376,Budget
27452,Swim,Men,65.0,0.403,Budget
27460,Swim,Men,139.5,0.439,Premium
27471,Swim,Men,35.0,0.4,Budget
27474,Swim,Men,55.0,0.449,Budget
27498,Swim,Men,65.0,0.442,Budget
27530,Swim,Men,65.0,0.37,Budget
27545,Swim,Men,149.5,0.355,Premium
27546,Swim,Men,55.0,0.375,Budget
27561,Swim,Men,50.0,0.409,Budget
27566,Swim,Men,65.0,0.373,Budget
27571,Swim,Men,100.0,0.358,Budget
27594,Swim,Men,65.0,0.365,Budget
27597,Swim,Men,29.45,0.386,Budget
27605,Swim,Men,55.0,0.381,Budget
27634,Swim,Men,45.0,0.382,Budget
27647,Swim,Men,65.0,0.42,Budget
27650,Swim,Men,65.0,0.427,Budget
27653,Swim,Men,45.0,0.416,Budget
27770,Swim,Men,65.0,0.426,Budget
27784,Swim,Men,64.95,0.371,Budget
27790,Swim,Men,65.0,0.36,Budget
27813,Swim,Men,38.19,0.381,Budget
27825,Swim,Men,139.45,0.407,Premium
27826,Swim,Men,64.95,0.351,Budget
27834,Swim,Men,20.75,0.367,Budget
27847,Swim,Men,55.0,0.414,Budget
27874,Swim,Men,55.0,0.439,Budget
27903,Swim,Men,59.5,0.357,Budget
27910,Swim,Men,45.0,0.447,Budget
27945,Swim,Men,51.95,0.373,Budget
27954,Swim,Men,45.0,0.43,Budget
27967,Swim,Men,55.0,0.376,Budget
27979,Swim,Men,87.95,0.386,Budget
27994,Swim,Men,55.0,0.388,Budget
28042,Swim,Men,65.0,0.352,Budget
28127,Swim,Men,59.45,0.376,Budget
28131,Swim,Men,37.13,0.36,Budget
28234,Swim,Men,24.08,0.422,Budget
28250,Swim,Men,64.95,0.373,Budget
27527,Swim,Men,54.0,0.393,Budget
27734,Swim,Men,37.99,0.372,Budget
27827,Swim,Men,54.0,0.353,Budget
27809,Swim,Men,44.31,0.441,Budget
27692,Swim,Men,52.0,0.376,Budget
27758,Swim,Men,56.0,0.385,Budget
27862,Swim,Men,45.0,0.381,Budget
27916,Swim,Men,54.0,0.387,Budget
27922,Swim,Men,48.0,0.381,Budget
27958,Swim,Men,54.0,0.364,Budget
28001,Swim,Men,52.0,0.449,Budget
28017,Swim,Men,50.0,0.36,Budget
28125,Swim,Men,52.0,0.415,Budget
28135,Swim,Men,52.0,0.412,Budget
28198,Swim,Men,32.35,0.448,Budget
27802,Swim,Men,41.25,0.408,Budget
27838,Swim,Men,50.19,0.449,Budget
27848,Swim,Men,45.02,0.413,Budget
27578,Swim,Men,34.95,0.427,Budget
27755,Swim,Men,33.99,0.419,Budget
27767,Swim,Men,59.5,0.413,Budget
27798,Swim,Men,53.48,0.422,Budget
27846,Swim,Men,55.99,0.369,Budget
27872,Swim,Men,69.5,0.439,Budget
27999,Swim,Men,52.2,0.439,Budget
28095,Swim,Men,36.99,0.443,Budget
28098,Swim,Men,64.95,0.437,Budget
28186,Swim,Men,36.1,0.43,Budget
28264,Swim,Men,40.6,0.431,Budget
28265,Swim,Men,40.16,0.403,Budget
28273,Swim,Men,36.99,0.354,Budget
28288,Swim,Men,79.95,0.426,Budget
27558,Swim,Men,38.0,0.351,Budget
27642,Swim,Men,22.0,0.414,Budget
28241,Swim,Men,27.0,0.387,Budget
27641,Swim,Men,35.58,0.424,Budget
27870,Swim,Men,78.9,0.372,Budget
27873,Swim,Men,30.7,0.445,Budget
27909,Swim,Men,46.8,0.4,Budget
27596,Swim,Men,13.9,0.386,Budget
27633,Swim,Men,12.9,0.436,Budget
27720,Swim,Men,12.9,0.352,Budget
27883,Swim,Men,12.9,0.399,Budget
27562,Swim,Men,37.5,0.38,Budget
27902,Swim,Men,58.0,0.433,Budget
27988,Swim,Men,40.57,0.401,Budget
28168,Swim,Men,35.97,0.437,Budget
28196,Swim,Men,33.47,0.448,Budget
28025,Swim,Men,40.0,0.421,Budget
28179,Swim,Men,29.99,0.413,Budget
27926,Swim,Men,34.0,0.392,Budget
28066,Swim,Men,20.0,0.444,Budget
27586,Swim,Men,19.99,0.37,Budget
27589,Swim,Men,23.99,0.368,Budget
27731,Swim,Men,14.99,0.384,Budget
27608,Swim,Men,34.88,0.406,Budget
28099,Swim,Men,39.88,0.368,Budget
28251,Swim,Men,69.5,0.403,Budget
27982,Swim,Men,50.0,0.357,Budget
